  abundant            Soma: wall    68ms inner    51ms   Python: wall   188ms inner   147ms   speedup:    2.9x
  ackermann           Soma: wall   134ms inner   —ms   Python: wall  2101ms inner  2136ms   speedup:   15.7x
  amicable            Soma: wall     4ms inner   —ms   Python: wall    38ms inner    10ms   speedup:    9.5x
  anagram             Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  bbp_hex             Soma: wall    79ms inner    42ms   Python: wall   191ms inner   176ms   speedup:    4.2x
  bbp_pi              Soma: wall     5ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    4.2x
  bell                Soma: wall     5ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    3.8x
  binary_search       Soma: wall     4ms inner   —ms   Python: wall    18ms inner     0ms   speedup:    4.5x
  binomial            Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  birthday            Soma: wall     4ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    5.2x
  bisection           Soma: wall     4ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    5.0x
  buffon              Soma: wall    37ms inner   —ms   Python: wall   415ms inner   377ms   speedup:   11.2x
  caesar              Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  carmichael          Soma: wall     5ms inner   —ms   Python: wall    37ms inner     4ms   speedup:    7.4x
  catalan             Soma: wall    83ms inner    77ms   Python: wall   189ms inner   167ms   speedup:    2.2x
  cf_sqrt             Soma: wall    79ms inner    47ms   Python: wall   514ms inner   469ms   speedup:   10.0x
  champernowne        Soma: wall     4ms inner   —ms   Python: wall   127ms inner    86ms   speedup:   31.8x
  champernowne_const  Soma: wall     5ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    4.2x
  champernowne_words  Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  circular_primes     Soma: wall    42ms inner    33ms   Python: wall  1490ms inner  1484ms   speedup:   45.0x
  coin_change         Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  collatz             Soma: wall   188ms inner   160ms   Python: wall  5024ms inner  5005ms   speedup:   31.3x
  conway_sequence     Soma: wall     5ms inner   —ms   Python: wall    22ms inner     0ms   speedup:    4.4x
  coupon              Soma: wall     5ms inner   —ms   Python: wall    46ms inner    26ms   speedup:    9.2x
  crt                 Soma: wall     5ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    3.8x
  cyclotomic          Soma: wall     5ms inner   —ms   Python: wall    23ms inner     0ms   speedup:    4.6x
  derangements        Soma: wall     5ms inner   —ms   Python: wall    22ms inner     0ms   speedup:    4.4x
  dice                Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  digit_factorial     Soma: wall    73ms inner    62ms   Python: wall   659ms inner   654ms   speedup:   10.5x
  digit_sum           Soma: wall     5ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    4.2x
  divisor_chain       Soma: wall     5ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    4.2x
  divisors            Soma: wall     5ms inner   —ms   Python: wall    22ms inner     0ms   speedup:    4.4x
  e_series            Soma: wall     5ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    4.2x
  e_spigot            Soma: wall     9ms inner   —ms   Python: wall    86ms inner    66ms   speedup:    9.6x
  edit_distance       Soma: wall     5ms inner   —ms   Python: wall    18ms inner     0ms   speedup:    3.6x
  euclidean_alg       Soma: wall     5ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    4.2x
  ext_gcd             Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  fact                Soma: wall     5ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    4.2x
  fact_big            Soma: wall     5ms inner   —ms   Python: wall    18ms inner     0ms   speedup:    3.6x
  farey               Soma: wall     5ms inner     1ms   Python: wall    42ms inner     8ms   speedup:    8.0x
  fermat              Soma: wall     5ms inner   —ms   Python: wall    22ms inner     3ms   speedup:    4.4x
  goldbach            Soma: wall   127ms inner   113ms   Python: wall  7635ms inner  7735ms   speedup:   68.5x
  heapsort            Soma: wall     4ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    5.0x
  hofstadter_q        Soma: wall    19ms inner    13ms   Python: wall    22ms inner     1ms   speedup:    0.1x
  isqrt               Soma: wall     5ms inner   —ms   Python: wall    18ms inner     0ms   speedup:    3.6x
  josephus            Soma: wall    10ms inner   —ms   Python: wall    77ms inner    25ms   speedup:    7.7x
  karatsuba           Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  kmp                 Soma: wall     5ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    4.2x
  knapsack            Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  lattice_paths       Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  lcs                 Soma: wall     5ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    3.8x
  legendre            Soma: wall     5ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    3.8x
  leibniz             Soma: wall    10ms inner     6ms   Python: wall   401ms inner   373ms   speedup:   62.2x
  levenshtein         Soma: wall     5ms inner   —ms   Python: wall    77ms inner    35ms   speedup:   15.4x
  look_and_say        Soma: wall    42ms inner    38ms   Python: wall   296ms inner   270ms   speedup:    7.1x
  lucas_lehmer        Soma: wall     5ms inner   —ms   Python: wall    18ms inner     0ms   speedup:    3.6x
  machin_pi           Soma: wall     5ms inner   —ms   Python: wall    18ms inner     0ms   speedup:    3.6x
  mandelbrot          Soma: wall  1774ms inner  1741ms   Python: wall 10526ms inner 10498ms   speedup:    6.0x
  matrix_fib          Soma: wall    36ms inner    18ms   Python: wall   293ms inner   260ms   speedup:   14.4x
  mergesort           Soma: wall     5ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    3.8x
  mersenne            Soma: wall   299ms inner   289ms   Python: wall  3532ms inner  3458ms   speedup:   12.0x
  miller_rabin        Soma: wall   237ms inner   228ms   Python: wall  2507ms inner  2562ms   speedup:   11.2x
  mobius              Soma: wall     5ms inner   —ms   Python: wall    37ms inner     6ms   speedup:    7.4x
  multinomial         Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  newton_root         Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  nqueens             Soma: wall   907ms inner   899ms   Python: wall 35801ms inner 39203ms   speedup:   43.6x
  odd_period          Soma: wall     9ms inner     2ms   Python: wall    38ms inner    15ms   speedup:    7.5x
  padovan             Soma: wall     5ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    3.8x
  palindrome          Soma: wall     5ms inner   —ms   Python: wall    37ms inner     8ms   speedup:    7.4x
  pandigital          Soma: wall    19ms inner    10ms   Python: wall    37ms inner    12ms   speedup:    1.2x
  partitions          Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  pell                Soma: wall     4ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    4.8x
  perfect             Soma: wall     5ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    4.2x
  perrin              Soma: wall     5ms inner   —ms   Python: wall    77ms inner    46ms   speedup:   15.4x
  pollard_rho         Soma: wall    11ms inner     7ms   Python: wall    38ms inner    20ms   speedup:    2.9x
  primorial           Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  pythagoras          Soma: wall     5ms inner   —ms   Python: wall    23ms inner     4ms   speedup:    4.6x
  quadratic_primes    Soma: wall    11ms inner     8ms   Python: wall   460ms inner   427ms   speedup:   53.4x
  quicksort           Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  random_walk         Soma: wall    10ms inner   —ms   Python: wall   187ms inner   168ms   speedup:   18.7x
  recaman             Soma: wall     5ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    4.2x
